n,m,phi_n,e_m,ratio,deviation,deviation_pct
54,25.985438553218586,192900153617.99994,192900153617.99994,1.0,0.0,0.0
57,27.429074028397398,817138163596.0013,817138163596.0013,1.0,0.0,0.0
56,26.947862203337795,505019158607.0011,505019158607.0011,1.0,0.0,0.0
55,26.466650378278192,312119004989.00085,312119004989.00085,1.0,0.0,0.0
67,32.24119227899343,100501350283428.98,100501350283428.98,1.0,0.0,0.0
68,32.722404104053034,162614600673846.9,162614600673846.9,1.0,0.0,0.0
69,33.20361592911264,263115950957275.7,263115950957275.7,1.0,0.0,0.0
58,27.910285853457,1322157322203.0015,1322157322203.0015,1.0,0.0,0.0
59,28.391497678516604,2139295485799.0012,2139295485799.0012,1.0,0.0,0.0
60,28.872709503576207,3461452808002.0,3461452808002.0,1.0,0.0,0.0
61,29.353921328635813,5600748293801.018,5600748293801.018,1.0,0.0,0.0
62,29.835133153695416,9062201101803.023,9062201101803.023,1.0,0.0,0.0
66,31.759980453933828,62113250390418.02,62113250390418.02,1.0,0.0,0.0
80,38.496946004768276,5.236139639782013e+16,5.236139639782013e+16,1.0,0.0,0.0
81,38.97815782982788,8.472251907007923e+16,8.472251907007923e+16,1.0,0.0,0.0
82,39.45936965488748,1.3708391546789926e+17,1.3708391546789926e+17,1.0,0.0,0.0
84,40.421793305006695,3.588903500058799e+17,3.588903500058799e+17,1.0,0.0,0.0
75,36.09088687947026,4721424167835377.0,4721424167835377.0,1.0,0.0,0.0
78,37.53452235464907,2.0000273725561e+16,2.0000273725561e+16,1.0,0.0,0.0
77,37.05331052958947,1.2360848946698192e+16,1.2360848946698192e+16,1.0,0.0,0.0
134,64.48238455798686,1.0100521408792491e+28,1.0100521408792491e+28,1.0,0.0,0.0
129,62.07632543268885,9.107634472711818e+26,9.107634472711818e+26,1.0,0.0,0.0
130,62.55753725774845,1.4736462133957939e+27,1.4736462133957939e+27,1.0,0.0,0.0
122,58.70784265727163,3.1368381450515004e+25,3.1368381450515004e+25,1.0,0.0,0.0
123,59.18905448233123,5.075510735900498e+25,5.075510735900498e+25,1.0,0.0,0.0
124,59.67026630739083,8.212348880951993e+25,8.212348880951993e+25,1.0,0.0,0.0
126,60.63268995751004,2.150020849780446e+26,2.150020849780446e+26,1.0,0.0,0.0
79,38.01573417970867,3.236112267225917e+16,3.236112267225917e+16,1.0,0.0,0.0
86,41.3842169551259,9.395871345497386e+17,9.395871345497386e+17,1.0,0.0,0.0
85,40.9030051300663,5.806967845438593e+17,5.806967845438593e+17,1.0,0.0,0.0
93,44.75269973054312,2.7280388024614576e+19,2.7280388024614576e+19,1.0,0.0,0.0
94,45.233911555602724,4.414059505011197e+19,4.414059505011197e+19,1.0,0.0,0.0
91,43.790276080423915,1.0420180999117177e+19,1.0420180999117177e+19,1.0,0.0,0.0
90,43.30906425536431,6.440026026380256e+18,6.440026026380256e+18,1.0,0.0,0.0
88,42.346640605245106,2.4598710536433336e+18,2.4598710536433336e+18,1.0,0.0,0.0
87,41.8654287801855,1.520283919093597e+18,1.520283919093597e+18,1.0,0.0,0.0
99,47.639970680900745,4.895267005239707e+20,4.895267005239707e+20,1.0,0.0,0.0
100,48.12118250596035,7.920708398483752e+20,7.920708398483752e+20,1.0,0.0,0.0
97,46.67754703078154,1.8698256119956606e+20,1.8698256119956606e+20,1.0,0.0,0.0
98,47.15875885584114,3.02544139324405e+20,3.02544139324405e+20,1.0,0.0,0.0
101,48.60239433101995,1.281597540372345e+21,1.281597540372345e+21,1.0,0.0,0.0
102,49.083606156079554,2.0736683802207186e+21,2.0736683802207186e+21,1.0,0.0,0.0
96,46.19633520572194,1.1556157812483919e+20,1.1556157812483919e+20,1.0,0.0,0.0
95,45.71512338066233,7.142098307472649e+19,7.142098307472649e+19,1.0,0.0,0.0
111,53.41451258161599,1.5762607728479958e+23,1.5762607728479958e+23,1.0,0.0,0.0
110,52.933300756556385,9.741827327532394e+22,9.741827327532394e+22,1.0,0.0,0.0
108,51.97087710643717,3.7210469265847976e+22,3.7210469265847976e+22,1.0,0.0,0.0
109,52.45208893149678,6.020780400947577e+22,6.020780400947577e+22,1.0,0.0,0.0
107,51.48966528137757,2.299733474362741e+22,2.299733474362741e+22,1.0,0.0,0.0
105,50.52724163125836,8.784200221406831e+21,8.784200221406831e+21,1.0,0.0,0.0
104,50.04602980619876,5.428934300813775e+21,5.428934300813775e+21,1.0,0.0,0.0
103,49.56481798113916,3.355265920593061e+21,3.355265920593061e+21,1.0,0.0,0.0
133,64.00117273292726,6.242465534729735e+27,6.242465534729735e+27,1.0,0.0,0.0
132,63.519960907867656,3.858055874062765e+27,3.858055874062765e+27,1.0,0.0,0.0
114,54.858148056794796,6.677147784050454e+23,6.677147784050454e+23,1.0,0.0,0.0
115,55.3393598818544,1.0803852062499674e+24,1.0803852062499674e+24,1.0,0.0,0.0
116,55.820571706914,1.7480999846550115e+24,1.7480999846550115e+24,1.0,0.0,0.0
121,58.22663083221202,1.9386725908489875e+25,1.9386725908489875e+25,1.0,0.0,0.0
120,57.745419007152414,1.1981655542024932e+25,1.1981655542024932e+25,1.0,0.0,0.0
127,61.11390178256964,3.478806811465691e+26,3.478806811465691e+26,1.0,0.0,0.0
117,56.301783531973605,2.8284851909049765e+24,2.8284851909049765e+24,1.0,0.0,0.0
112,53.89572440667559,2.5504435056012333e+23,2.5504435056012333e+23,1.0,0.0,0.0
119,57.26420718209281,7.405070366464956e+24,7.405070366464956e+24,1.0,0.0,0.0
164,78.91873930977496,1.8791999880010152e+34,1.8791999880010152e+34,1.0,0.0,0.0
156,75.06904470929814,4.000109490973657e+32,4.000109490973657e+32,1.0,0.0,0.0
157,75.55025653435774,6.472313115116415e+32,6.472313115116415e+32,1.0,0.0,0.0
158,76.03146835941735,1.0472422606090065e+33,1.0472422606090065e+33,1.0,0.0,0.0
153,73.62540923411933,9.44297757311866e+31,9.44297757311866e+31,1.0,0.0,0.0
150,72.18177375894052,2.229184617261998e+31,2.229184617261998e+31,1.0,0.0,0.0
149,71.70056193388092,1.3777118606663411e+31,1.3777118606663411e+31,1.0,0.0,0.0
148,71.21935010882132,8.514727565956587e+30,8.514727565956587e+30,1.0,0.0,0.0
147,70.73813828376171,5.262391040706835e+30,5.262391040706835e+30,1.0,0.0,0.0
146,70.25692645870211,3.2523365252497574e+30,3.2523365252497574e+30,1.0,0.0,0.0
145,69.77571463364251,2.0100545154570817e+30,2.0100545154570817e+30,1.0,0.0,0.0
144,69.2945028085829,1.242282009792678e+30,1.242282009792678e+30,1.0,0.0,0.0
143,68.8132909835233,7.677725056644052e+29,7.677725056644052e+29,1.0,0.0,0.0
142,68.3320791584637,4.7450950412827384e+29,4.7450950412827384e+29,1.0,0.0,0.0
141,67.8508673334041,2.932630015361319e+29,2.932630015361319e+29,1.0,0.0,0.0
140,67.36965550834448,1.8124650259213965e+29,1.8124650259213965e+29,1.0,0.0,0.0
139,66.88844368328488,1.1201649894398829e+29,1.1201649894398829e+29,1.0,0.0,0.0
138,66.40723185822527,6.923000364815151e+28,6.923000364815151e+28,1.0,0.0,0.0
137,65.92602003316567,4.278649529583687e+28,4.278649529583687e+28,1.0,0.0,0.0
136,65.44480820810607,2.644350835231469e+28,2.644350835231469e+28,1.0,0.0,0.0
135,64.96359638304646,1.6342986943522214e+28,1.6342986943522214e+28,1.0,0.0,0.0
197,94.79872953674189,1.481034342863405e+41,1.481034342863405e+41,1.0,0.0,0.0
184,88.54297581096704,2.8426658094263256e+38,2.8426658094263256e+38,1.0,0.0,0.0
186,89.50539946108624,7.442195707735344e+38,7.442195707735344e+38,1.0,0.0,0.0
