n,m,phi_n,e_m,ratio,deviation,deviation_pct
165,79.4,3.0406094522440434e+34,3.04075803575819e+34,0.9999511360284509,4.886397154915688e-05,0.004886397154915688
149,71.7,1.3777118606663328e+31,1.3769378951727737e+31,1.0005620917953326,0.0005620917953326119,0.05620917953326119
16,7.7,2206.999546896146,2208.3479918872094,0.999389387453419,0.0006106125465809848,0.061061254658098474
181,87.10000000000001,6.710623683390743e+37,6.715051902081531e+37,0.9993405533188187,0.0006594466811813634,0.06594466811813635
133,64.0,6.242465534729732e+27,6.235149080811639e+27,1.0011734208474037,0.0011734208474036636,0.11734208474036636
32,15.4,4870846.999999795,4876800.85327227,0.99877914775452,0.0012208522454799273,0.12208522454799273
197,94.80000000000001,1.4810343428633918e+41,1.4829171383380213e+41,0.9987303434386496,0.00126965656135034,0.126965656135034
117,56.300000000000004,2.8284851909049717e+24,2.8234449931431403e+24,1.001785123412736,0.001785123412735882,0.1785123412735882
48,23.1,10749957122.0,10769673371.157667,0.9981692806756359,0.0018307193243640735,0.18307193243640735
101,48.60000000000001,1.2815975403723408e+21,1.278532642280842e+21,1.0023971997195404,0.002397199719540499,0.2397199719540499
64,30.8,23725150497407.0,23783186562477.145,0.9975597859892454,0.0024402140107545613,0.2440214010754561
85,40.9,5.806967845438568e+17,5.789543346328434e+17,1.0030096499961754,0.0030096499961753077,0.30096499961753076
80,38.5,5.236139639782013e+16,5.2521552285925176e+16,0.9969506634679576,0.0030493365320424654,0.30493365320424654
69,33.2,263115950957276.0,262166260371890.8,1.0036224744711162,0.0036224744711162433,0.3622474471116243
96,46.2,1.1556157812483852e+20,1.1598586452142255e+20,0.9963419128845165,0.0036580871154835467,0.3658087115483547
53,25.500000000000004,119218851371.0,118716009132.17001,1.0042356733730002,0.004235673373000218,0.42356733730002183
112,53.900000000000006,2.5504435056012222e+23,2.56137151003185e+23,0.9957335340118264,0.004266465988173563,0.4266465988173562
37,17.8,54018521.000000015,53757835.978883706,1.0048492469306003,0.004849246930600281,0.48492469306002806
128,61.6,5.628827661246116e+26,5.656399630655935e+26,0.9951255266229092,0.004874473377090839,0.48744733770908394
186,89.5,7.442195707735341e+38,7.40212015218076e+38,1.0054140644478426,0.005414064447842553,0.5414064447842553
21,10.1,24476.00004085635,24343.0094244084,1.0054631953728204,0.0054631953728203324,0.5463195372820333
144,69.3,1.2422820097926673e+30,1.2491298765670565e+30,0.994517890490932,0.005482109509068031,0.548210950906803
170,81.8,3.372087555795744e+35,3.351881215901584e+35,1.00602835798545,0.006028357985450093,0.6028357985450093
5,2.4,11.090169943749475,11.023176380641601,1.0060775189287112,0.006077518928711272,0.6077518928711272
160,77.0,2.741715832729651e+33,2.758513454523172e+33,0.9939106253892007,0.0060893746107992825,0.6089374610799282
154,74.10000000000001,1.5279058668308928e+32,1.517822928367888e+32,1.0066430268475697,0.006643026847569691,0.6643026847569691
11,5.300000000000001,199.00502499874065,200.33680997479178,0.9933522702282287,0.006647729771771358,0.6647729771771359
176,84.7,6.050965600552329e+36,6.091757647890129e+36,0.9933037310911527,0.006696268908847375,0.6696268908847375
27,13.0,439204.00000227685,442413.3920089209,0.9927457168688526,0.00725428313114742,0.725428313114742
138,66.4,6.923000364815167e+28,6.873114807738204e+28,1.0072580712635264,0.007258071263526376,0.7258071263526376
192,92.4,1.3354478338703158e+40,1.345272076878179e+40,0.9926972073703774,0.007302792629622627,0.7302792629622628
43,20.7,969323029.0,977002725.8269075,0.9921395338785697,0.007860466121430312,0.7860466121430313
122,58.7,3.136838145051481e+25,3.112333216045625e+25,1.007873491462778,0.007873491462778142,0.7873491462778142
59,28.400000000000002,2139295485799.0,2157562007648.1848,0.9915337210312226,0.008466278968777339,0.8466278968777339
106,51.00000000000001,1.4213134522220588e+22,1.4093490824269475e+22,1.0084892876749232,0.00848928767492318,0.8489287674923179
75,36.1,4721424167835364.0,4764647726961997.0,0.9909282781008046,0.009071721899195372,0.9071721899195373
90,43.3,6.440026026380245e+18,6.381915746994833e+18,1.0091054601297071,0.009105460129707131,0.910546012970713
91,43.8,1.0420180999117162e+19,1.0522000239886463e+19,0.9903232048614361,0.009676795138563857,0.9676795138563856
74,35.6,2918000611027443.0,2889904929132563.0,1.0097220090569945,0.009722009056994498,0.9722009056994497
