n,m,phi_n,e_m,ratio,deviation,deviation_pct
129,62.076325432688876,9.107634472711818e+26,9.107634472712076e+26,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
125,60.151478132450464,1.328785961685248e+26,1.3287859616852858e+26,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
124,59.67026630739086,8.212348880951993e+25,8.212348880952226e+25,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
127,61.11390178256967,3.478806811465691e+26,3.47880681146579e+26,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
132,63.519960907867684,3.858055874062765e+27,3.858055874062875e+27,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
107,51.4896652813776,2.299733474362741e+22,2.2997334743628063e+22,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
105,50.52724163125839,8.784200221406831e+21,8.78420022140708e+21,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
61,29.353921328635842,5600748293801.018,5600748293801.177,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
59,28.391497678516632,2139295485799.0012,2139295485799.062,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
62,29.835133153695445,9062201101803.023,9062201101803.281,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
63,30.316344978755048,14662949395604.03,14662949395604.445,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
67,32.24119227899346,100501350283428.98,100501350283431.84,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
64,30.79755680381465,23725150497407.035,23725150497407.71,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
85,40.903005130066326,5.806967845438593e+17,5.806967845438758e+17,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
87,41.86542878018553,1.520283919093597e+18,1.5202839190936402e+18,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
89,42.82785243030474,3.980154972736928e+18,3.980154972737041e+18,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
103,49.564817981139186,3.355265920593061e+21,3.3552659205931564e+21,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
113,54.37693623173522,4.126704278449226e+23,4.1267042784493435e+23,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
123,59.18905448233126,5.075510735900498e+25,5.075510735900642e+25,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
112,53.89572440667562,2.5504435056012333e+23,2.5504435056013058e+23,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
119,57.26420718209284,7.405070366464956e+24,7.405070366465167e+24,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
117,56.30178353197363,2.8284851909049765e+24,2.828485190905057e+24,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
118,56.782995357033236,4.576585175559985e+24,4.576585175560115e+24,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
104,50.04602980619879,5.428934300813775e+21,5.42893430081393e+21,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
108,51.9708771064372,3.7210469265847976e+22,3.7210469265849033e+22,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
101,48.60239433101998,1.281597540372345e+21,1.2815975403723814e+21,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
100,48.12118250596038,7.920708398483752e+20,7.920708398483977e+20,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
74,35.60967505441069,2918000611027452.5,2918000611027535.5,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
75,36.09088687947029,4721424167835377.0,4721424167835511.0,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
83,39.94058147994711,2.2180643453797834e+17,2.2180643453798464e+17,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
72,34.64725140429148,1114577054219526.9,1114577054219558.5,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
114,54.858148056794825,6.677147784050454e+23,6.677147784050645e+23,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
106,51.008453456317994,1.4213134522220594e+22,1.4213134522221e+22,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
56,26.947862203337824,505019158607.0011,505019158607.01544,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
60,28.872709503576235,3461452808002.0,3461452808002.0986,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
42,20.210896652503376,599074578.0000015,599074578.0000186,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
43,20.69210847756298,969323029.0000019,969323029.0000294,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
51,24.541803078039806,45537549124.00005,45537549124.00135,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
54,25.985438553218614,192900153617.99994,192900153618.00543,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
81,38.97815782982791,8.472251907007923e+16,8.472251907008165e+16,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
82,39.45936965488751,1.3708391546789926e+17,1.3708391546790317e+17,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
77,37.053310529589496,1.2360848946698192e+16,1.2360848946698544e+16,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
73,35.128463229351084,1803423556807927.8,1803423556807979.2,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
84,40.42179330500672,3.588903500058799e+17,3.588903500058901e+17,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
95,45.715123380662355,7.142098307472649e+19,7.142098307472852e+19,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
93,44.75269973054315,2.7280388024614576e+19,2.7280388024615354e+19,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
88,42.346640605245135,2.4598710536433336e+18,2.459871053643404e+18,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
126,60.63268995751007,2.150020849780446e+26,2.150020849780507e+26,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
130,62.55753725774848,1.4736462133957939e+27,1.473646213395836e+27,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
96,46.196335205721965,1.1556157812483919e+20,1.1556157812484248e+20,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
102,49.08360615607958,2.0736683802207186e+21,2.0736683802207776e+21,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
90,43.30906425536434,6.440026026380256e+18,6.44002602638044e+18,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
92,44.271487905483546,1.686020702549742e+19,1.68602070254979e+19,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
110,52.93330075655641,9.741827327532394e+22,9.74182732753267e+22,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
111,53.414512581616016,1.5762607728479958e+23,1.5762607728480407e+23,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
131,63.03874908280808,2.384409660666974e+27,2.3844096606670419e+27,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
134,64.48238455798689,1.0100521408792491e+28,1.010052140879278e+28,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
120,57.74541900715244,1.1981655542024932e+25,1.1981655542025273e+25,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
122,58.707842657271655,3.1368381450515004e+25,3.1368381450515897e+25,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
136,65.4448082081061,2.644350835231469e+28,2.644350835231544e+28,0.9999999999999715,2.853273173286652e-14,2.8532731732866523e-12
98,47.15875885584117,3.02544139324405e+20,3.0254413932441364e+20,0.9999999999999714,2.864375403532904e-14,2.864375403532904e-12
80,38.496946004768304,5.236139639782013e+16,5.2361396397821624e+16,0.9999999999999714,2.864375403532904e-14,2.864375403532904e-12
69,33.203615929112665,263115950957275.7,263115950957283.2,0.9999999999999714,2.864375403532904e-14,2.864375403532904e-12
201,96.72357683698019,1.0151160401503351e+42,1.0151160401502198e+42,1.0000000000001135,1.13464793116691e-13,1.13464793116691e-11
165,79.39995113483445,3.0406094522440356e+34,3.04060945224369e+34,1.0000000000001135,1.13464793116691e-13,1.13464793116691e-11
160,76.99389200953644,2.741715832729651e+33,2.7417158327293395e+33,1.0000000000001135,1.13464793116691e-13,1.13464793116691e-11
177,85.1744930355497,9.79066800645014e+36,9.790668006449028e+36,1.0000000000001135,1.13464793116691e-13,1.13464793116691e-11
207,99.6108477873378,1.8215518244659178e+43,1.8215518244657108e+43,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
140,67.36965550834437,1.8124650259213965e+29,1.8124650259211907e+29,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
138,66.40723185822516,6.923000364815151e+28,6.923000364814363e+28,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
141,67.85086733340398,2.932630015361319e+29,2.932630015360986e+29,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
148,71.2193501088212,8.514727565956587e+30,8.514727565955618e+30,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
145,69.7757146336424,2.0100545154570817e+30,2.010054515456853e+30,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
146,70.256926458702,3.2523365252497574e+30,3.2523365252493876e+30,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
147,70.7381382837616,5.262391040706835e+30,5.262391040706237e+30,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
150,72.18177375894041,2.229184617261998e+31,2.2291846172617446e+31,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
149,71.7005619338808,1.3777118606663411e+31,1.3777118606661846e+31,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
142,68.33207915846359,4.7450950412827384e+29,4.745095041282199e+29,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
137,65.92602003316556,4.278649529583687e+28,4.278649529583201e+28,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
167,80.36237478495367,7.96041889248919e+34,7.960418892488285e+34,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
151,72.66298558400001,3.6068964779283366e+31,3.6068964779279267e+31,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
153,73.62540923411922,9.44297757311866e+31,9.442977573117587e+31,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
154,74.10662105917882,1.527905866830898e+32,1.5279058668307243e+32,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
159,76.51268018447684,1.6944735721206466e+33,1.694473572120454e+33,1.0000000000001137,1.1368683772161603e-13,1.1368683772161603e-11
